,City,Lat,Lng,Max Temp (degrees F),Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,-28.011999999999958,79,1,2.38,RU,1612045050
1,kapaa,22.0752,-159.319,78.8,65,75,7.2,US,1612045050
2,klaksvik,62.2266,-6.589,33.8,80,75,7.2,FO,1612045050
3,albany,42.6001,-73.9662,19.004000000000055,54,13,1.79,US,1612045050
4,walvis bay,-22.9575,14.5053,66.99199999999999,82,0,2.06,NA,1612045050
5,rikitea,-23.1203,-134.9692,78.908,76,2,5.62,PF,1612045051
6,ushuaia,-54.8,-68.3,51.8,62,20,11.32,AR,1612044812
7,pevek,69.7008,170.3133,-33.32199999999993,84,2,1.07,RU,1612045051
8,tiksi,71.6872,128.8694,-27.95799999999995,86,100,2.33,RU,1612045051
9,nabire,-3.3667,135.4833,76.766,87,99,1.34,ID,1612045051
10,port alfred,-33.5906,26.891,64.00400000000005,92,25,1.51,ZA,1612045044
11,nador,35.174,-2.9287,60.8,67,0,8.75,MA,1612045052
12,dunedin,-45.8742,170.5036,59.0,73,52,8.49,NZ,1612045052
13,gushikawa,26.3544,127.8686,59.0,87,20,3.09,JP,1612044863
14,chimbote,-9.0853,-78.5783,74.21000000000008,66,83,4.21,PE,1612045052
15,butaritari,3.0707,172.7902,81.158,77,100,7.41,KI,1612045052
16,isla mujeres,21.2311,-86.731,80.6,57,75,7.72,MX,1612045053
17,mar del plata,-38.0023,-57.5575,62.99600000000005,59,75,8.23,AR,1612044770
18,jamestown,42.097,-79.2353,24.008000000000003,73,40,1.81,US,1612045053
19,puerto ayora,-0.7393,-90.3518,84.2,70,0,5.66,EC,1612045053
20,hobart,-42.8794,147.3294,64.00400000000005,51,20,5.14,AU,1612045025
21,busselton,-33.65,115.3333,60.998000000000026,83,0,4.6,AU,1612045053
22,fortuna,40.5982,-124.1573,55.004000000000055,76,75,11.32,US,1612045054
23,pisco,-13.7,-76.2167,73.99400000000007,73,0,8.75,PE,1612045054
24,barrow,71.2906,-156.7887,-9.399999999999949,70,90,4.12,US,1612045054
25,bluff,-46.6,168.3333,54.733999999999995,74,100,1.49,NZ,1612045054
26,mataura,-46.1927,168.8643,63.320000000000064,49,87,0.71,NZ,1612045054
27,mount isa,-20.7333,139.5,89.6,33,97,2.57,AU,1612045054
28,hami,42.8,93.45,20.588000000000044,84,0,0.92,CN,1612045055
29,sisimiut,66.9395,-53.6735,6.691999999999997,91,78,3.51,GL,1612045055
30,juneau,58.3019,-134.4197,30.2,86,90,1.54,US,1612045043
31,agua dulce,18.1333,-94.1333,78.8,65,40,5.14,MX,1612045055
32,punta arenas,-53.15,-70.9167,55.4,58,0,9.77,CL,1612044926
33,iqaluit,63.7506,-68.5145,-7.599999999999952,71,1,7.72,CA,1612044866
34,carnarvon,-24.8667,113.6333,80.6,94,7,2.96,AU,1612045055
35,port elizabeth,-33.918,25.5701,64.4,94,0,3.09,ZA,1612045056
36,chuy,-33.6971,-53.4616,75.52400000000002,71,59,6.26,UY,1612045056
37,lagoa,39.05,-27.9833,61.79000000000002,91,78,12.23,PT,1612045056
38,georgetown,5.4112,100.3354,77.0,83,20,2.06,MY,1612044877
39,mae hong son,19.3003,97.9685,64.32800000000006,85,44,0.45,TH,1612044963
40,moree,-29.4667,149.85,78.8,53,0,7.2,AU,1612045056
41,nikolskoye,59.7035,30.7861,26.99600000000005,93,75,2.0,RU,1612045056
42,victoria,22.2855,114.1577,62.00600000000003,66,0,6.61,HK,1612044952
43,vaini,-21.2,-175.2,82.4,83,75,3.09,TO,1612045057
44,bambous virieux,-20.3428,57.7575,78.8,89,40,4.73,MU,1612045057
45,atuona,-9.8,-139.0333,78.40400000000005,81,19,7.74,PF,1612045057
46,chokurdakh,70.6333,147.9167,-29.433999999999948,85,38,3.42,RU,1612045057
47,killybegs,54.6333,-8.45,37.004000000000055,83,100,4.47,IE,1612045057
48,cangzhou,38.3167,116.8667,25.574000000000012,97,85,4.01,CN,1612045057
49,sao joao da barra,-21.6403,-41.0511,82.4,54,0,11.32,BR,1612045058
50,bredasdorp,-34.5322,20.0403,66.99199999999999,86,7,2.72,ZA,1612045058
51,asau,46.4333,26.4,42.008,52,95,4.64,RO,1612045058
52,kavaratti,10.5669,72.642,80.78000000000004,70,29,3.51,IN,1612045058
